id,series,WorldClim: Temperature - warmest month max,Precipitation - annual (Bio12)
"7ea9c9b6-47b9-49e2-a626-f547f621297f","Eucalyptus populnea",324.0,433.0
"588b9e27-8ad3-4210-a52c-332dea8175ba","Eucalyptus populnea",327.0,623.0
"9effce32-7a9f-424f-af6c-059c3312476c","Eucalyptus populnea",334.0,469.0
"514d468f-f9b9-4d9b-b865-6c71ff0c82d7","Eucalyptus populnea",323.0,460.0
"cd000b83-0bad-4161-80fc-3d3012cb2ccc","Eucalyptus populnea",323.0,452.0
"dbb165bb-6432-4ae8-9f65-9c0534b6c08d","Eucalyptus populnea",326.0,532.0
"86082f80-7827-4ac1-b026-489a991329b9","Eucalyptus populnea",324.0,421.0
"a9aa7646-f642-45ce-a02d-dce0db6bd614","Eucalyptus populnea",326.0,511.0
"ea4ba265-a509-4ce7-905b-f90dc968736e","Eucalyptus populnea",330.0,493.0
"8a13c760-b086-4da9-b8d5-9ba17e5eebdd","Eucalyptus populnea",329.0,431.0
"df24cb54-a615-4592-bf40-174a828cfc8d","Eucalyptus populnea",332.0,439.0
"76e9cab3-49c0-4316-8be8-9de4903a3f23","Eucalyptus populnea",329.0,527.0
"b6c9b7b6-3b15-48d3-9161-37456365091b","Eucalyptus populnea",321.0,670.0
"e59080f0-5e76-4b2f-89ad-05f146d65ab4","Eucalyptus populnea",323.0,437.0
"37244305-1dd3-4383-bb45-56b95497e76e","Eucalyptus populnea",323.0,412.0
"123afa27-bf5d-4fd2-872f-4c5f0d1e42fb","Eucalyptus populnea",334.0,469.0
"f494de73-6520-47ac-a504-8ad020d13987","Eucalyptus populnea",326.0,532.0
"f82ca674-f78d-4e36-bb2b-0e6b92cc3b1c","Eucalyptus populnea",320.0,660.0
"b9cb51c6-daaf-4378-bc2d-227b27097193","Eucalyptus populnea",319.0,667.0
"6a65b11b-7f05-4c37-b718-9d03ac0f58d3","Eucalyptus populnea",345.0,456.0
"3aa3be07-1e1b-4b6d-b46d-49738c59d560","Eucalyptus populnea",342.0,475.0
"d06e5054-3263-4160-9da5-ff80341a1fbd","Eucalyptus populnea",323.0,424.0
"1850e4ac-007b-4f98-ad92-e92f25604181","Eucalyptus populnea",317.0,455.0
"86f88f63-c094-47a2-a54f-76659c075ba5","Eucalyptus populnea",320.0,436.0
"34071dfb-a73a-4138-afc0-a54a7a0ebc6d","Eucalyptus populnea",324.0,433.0
"2ab3c0fe-e81e-4927-a0a6-2deaf6bccc37","Eucalyptus populnea",318.0,461.0
"ffc18565-e1b1-4e60-b7cc-bf616bade807","Eucalyptus populnea",322.0,439.0
"caacff33-3fd1-4499-bed2-d7c5345352c2","Eucalyptus populnea",336.0,622.0
"b1f667c9-5f3c-4dbc-8555-547edec29e43","Eucalyptus populnea",330.0,396.0
"be8c96a8-0f96-44eb-81c2-69457527a1f2","Eucalyptus populnea",326.0,430.0
"2eba1588-24e6-4419-9eab-f017132a4df5","Eucalyptus populnea",333.0,390.0
"eda8b901-8214-4867-b18b-197b39699945","Eucalyptus populnea",330.0,386.0
"04db5086-636a-4804-af0d-051e6d1c7fa4","Eucalyptus populnea",333.0,389.0
"30123742-542c-469c-a76c-496a69b1ff0f","Eucalyptus populnea",348.0,329.0
"06a33b69-7c9d-4d13-959a-2bfdfc39f678","Eucalyptus populnea",339.0,359.0
"7fc6d5f8-bc83-4f27-b915-3028b6872f90","Eucalyptus populnea",326.0,704.0
"ee8f7782-c29a-43e8-a8ba-b32832e28113","Eucalyptus populnea",330.0,373.0
"bdff9ef5-a485-4311-b945-834d8672d421","Eucalyptus populnea",325.0,668.0
"a225b966-dba1-43ba-b640-be7a57ae01d3","Eucalyptus populnea",330.0,352.0
"2c309de8-d9ee-4e57-a793-8289d02f47bb","Eucalyptus populnea",331.0,347.0
"18e527ee-bccb-49a8-a0b9-178341411235","Eucalyptus populnea",325.0,668.0
"117336dc-5ece-4f45-9ae5-a8071cd1460d","Eucalyptus populnea",329.0,338.0
"a0afc0ea-8674-4f97-a779-db0ab1b0d2c0","Eucalyptus populnea",345.0,455.0
"fe9153ac-86d4-4b13-ade5-50ccc8a90e8c","Eucalyptus populnea",354.0,389.0
"886ee14f-6f76-49cd-bc56-80ddf0cbf5f5","Eucalyptus populnea",314.0,776.0
"02bff0a8-ed53-4f1f-b682-5e0525cb4dd4","Eucalyptus populnea",321.0,330.0
"3c5b5574-9751-4a40-9a44-e483ed78a785","Eucalyptus populnea",317.0,460.0
"c623fe9a-0d21-41d6-b754-a6d77d0e18ad","Eucalyptus populnea",325.0,402.0
"5a5c1f55-69be-40d9-9814-d1b7790e30ff","Eucalyptus populnea",319.0,477.0
"d8a05acb-30e6-4e5b-baea-3c2abcb10f90","Eucalyptus populnea",325.0,402.0
"7dd74a41-a058-404c-bd9e-257e72f54c78","Eucalyptus populnea",320.0,430.0
"b833188f-5c5e-4466-8999-4ecd7c7c8081","Eucalyptus populnea",322.0,456.0
"78a33bd3-9f8c-45e0-b0d7-4b9b2c64d137","Eucalyptus populnea",319.0,456.0
"08ee709f-33f6-4a54-a82d-057f8eb24c5d","Eucalyptus populnea",332.0,382.0
"6b8fbac7-fe1e-49d1-a84c-194d7ee81e2d","Eucalyptus populnea",330.0,437.0
"2cfd820e-65fc-4e72-95f6-4f6c031dd3a2","Eucalyptus populnea",330.0,459.0
"d6685549-f188-459c-9efe-691635123554","Eucalyptus populnea",325.0,402.0
"ac8f8ef5-f019-43ac-8b2b-cfaa0ce2ef41","Eucalyptus populnea",334.0,638.0
"e8971edc-52d6-443a-ad46-6ff94157ef84","Eucalyptus populnea",332.0,382.0
"4464b135-a13a-441b-8fa7-ec2e7cac7cba","Eucalyptus populnea",315.0,446.0
"c8ac555a-659d-46fc-b001-da4daaf9868b","Eucalyptus populnea",325.0,402.0
"1806d362-d0af-4e4f-9d07-f377a9289bd3","Eucalyptus populnea",337.0,638.0
"0c006b0d-5567-4833-9d91-78f872c0fcc5","Eucalyptus populnea",330.0,459.0
"9f6eb2f7-7f44-411a-a7da-72d90ea83b06","Eucalyptus populnea",332.0,357.0
"0f64f00a-9aaa-41cc-ae1f-05061707a521","Eucalyptus populnea",340.0,558.0
"a2983443-771b-437d-922f-26bcd3b943dc","Eucalyptus populnea",332.0,522.0
"4041d3c2-dc13-458d-845c-9479a946d945","Eucalyptus populnea",336.0,626.0
"873a86de-0f27-45ab-acc1-937e459ee740","Eucalyptus populnea",335.0,507.0
