id,series,WorldClim: Temperature - warmest month max,Precipitation - annual (Bio12)
"1bec18ae-f5ec-4afa-b241-cd1a3b33436a","Eucalyptus pilularis",275.0,1291.0
"9a83e190-2e69-4df5-9cf2-bde4530e3e23","Eucalyptus pilularis",275.0,1285.0
"3680db13-4fe2-4366-b42b-9962bc520ff3","Eucalyptus pilularis",275.0,1284.0
"64009d10-8204-43cd-b328-b11ca76cc759","Eucalyptus pilularis",276.0,1273.0
"2b429218-5b3a-41b4-a416-a7eb94ab8d0f","Eucalyptus pilularis",276.0,1284.0
"975c04e7-e89e-4d73-b185-a1a577942793","Eucalyptus pilularis",276.0,1295.0
"29dc6fd2-3398-477e-abfa-ac2ab1caa7bd","Eucalyptus pilularis",273.0,1325.0
"c52b55eb-c3c1-42f4-8ad0-053968290c3e","Eucalyptus pilularis",273.0,1333.0
"75fd09aa-fd48-474c-bae5-b54888ed8ddc","Eucalyptus pilularis",274.0,1337.0
"3402b5c1-88ba-4b13-bfae-7c4ad75e18c4","Eucalyptus pilularis",269.0,1380.0
"37c990bd-15a9-451a-841e-46957db63f86","Eucalyptus pilularis",272.0,1337.0
"44fb6b6f-696f-4728-96a4-0fc677e876eb","Eucalyptus pilularis",272.0,1393.0
"69a6f7f1-f6db-4de3-90a1-02f9fe2878ec","Eucalyptus pilularis",269.0,1393.0
"1e066511-717e-40d4-be0d-2ec81f517dd0","Eucalyptus pilularis",272.0,1344.0
"fcbfd55d-95f4-4178-a212-8f63ccc048df","Eucalyptus pilularis",272.0,1344.0
"81fa7373-90a0-4142-80ff-87a7e44dbbf0","Eucalyptus pilularis",273.0,1385.0
"0be9808c-d499-498d-8f7f-4cc5f3e8d9a5","Eucalyptus pilularis",259.0,1192.0
"6a2952d1-6915-40f8-bb8c-ce8bab722b08","Eucalyptus pilularis",NaN,1288.0
"ced67dd1-ad90-41e9-b2cf-24ef274dd3e5","Eucalyptus pilularis",270.0,1330.0
"dd53e301-1943-48d9-af9c-c0e07b4a0f73","Eucalyptus pilularis",277.0,1367.0
"a108801e-2f8c-41f5-b050-9ef0e7049da2","Eucalyptus pilularis",262.0,1313.0
"373ac053-5bdc-491c-a88f-fbc7850dfe0e","Eucalyptus pilularis",269.0,1216.0
"7333f86e-7169-4679-8d42-88e45cd285f2","Eucalyptus pilularis",262.0,1273.0
"ba55392d-8c75-4a34-a417-e7d43864a150","Eucalyptus pilularis",265.0,1202.0
"6d0516a1-d143-4f5a-9a68-f0b6892e723f","Eucalyptus pilularis",268.0,1306.0
"7a128ecf-49e8-44fb-ab00-a0d56be651fe","Eucalyptus pilularis",266.0,1357.0
"736ffa15-c4f5-4da4-bc2d-6959ef51dffa","Eucalyptus pilularis",275.0,1032.0
"c7f506e2-578e-4047-9243-ef7214ca6ed0","Eucalyptus pilularis",275.0,1021.0
"52f02454-ee5e-484e-81f0-5928371fe0c0","Eucalyptus pilularis",265.0,1042.0
"f9c326de-02eb-4d1b-afdc-1bc58d5daa97","Eucalyptus pilularis",278.0,893.0
"ad154353-9307-4665-9a5a-351113df0e22","Eucalyptus pilularis",263.0,1192.0
"537fdb3f-1088-4085-a095-07a4b3013470","Eucalyptus pilularis",265.0,1059.0
"095feaba-ddbf-43f2-9c5d-41de9786d474","Eucalyptus pilularis",281.0,827.0
"0477be8d-efb7-49f8-855f-bc5541dae7e1","Eucalyptus pilularis",267.0,1065.0
"777ad358-1a1b-49a7-9706-472b46029e45","Eucalyptus pilularis",269.0,1003.0
"75984fa6-e725-4fb5-84e7-ea7c62c5cc36","Eucalyptus pilularis",267.0,1043.0
"308acca6-76f0-4e81-a56d-b8359c57b451","Eucalyptus pilularis",270.0,836.0
"2ba0b4c4-e5e5-4b98-83aa-d54e7f76a258","Eucalyptus pilularis",272.0,1189.0
"20848aea-ff7a-4080-9452-90b7d0ed54d3","Eucalyptus pilularis",264.0,1367.0
"a996494d-ae03-478b-a0b8-2f92fa47a70c","Eucalyptus pilularis",262.0,1187.0
"9d231cb0-5ea3-4ff5-94e0-b63284defc72","Eucalyptus pilularis",263.0,1152.0
"1fe4ecc4-04da-4cb9-b673-f0e029f133f6","Eucalyptus pilularis",267.0,1339.0
"aa11c93c-8aec-41e0-b18f-f9e45e10c193","Eucalyptus pilularis",268.0,1322.0
